Wavelength,IntensityFactor
814.465,1651.8
814.414,1664.9
814.364,1650.7
814.314,1654.25
814.264,1647.6
814.213,1648.85
814.163,1637.15
814.113,1663.7
814.063,1665.3
814.012,1677.85
813.962,1675.45
813.912,1675.7
813.861,1662.2
813.811,1681.15
813.761,1647
813.711,1661.75
813.66,1656.25
813.61,1664
813.56,1650.7
813.509,1645.55
813.459,1654.1
813.409,1639.55
813.358,1659.6
813.308,1660.1
813.258,1645.7
813.208,1674
813.157,1665.2
813.107,1675.9
813.057,1676.95
813.006,1647.05
812.956,1681.35
812.906,1676.55
812.855,1651.6
812.805,1651.6
812.755,1682.25
812.704,1645.25
812.654,1660.2
812.603,1663.2
812.553,1662
812.503,1657.9
812.452,1660.05
812.402,1643.95
812.352,1658.85
812.301,1655.35
812.251,1653.85
812.2,1663.85
812.15,1663.3
812.1,1683
812.049,1672.15
811.999,1668.15
811.949,1677.65
811.898,1646.4
811.848,1683.95
811.797,1674.35
811.747,1659.45
811.696,1663.05
811.646,1645.5
811.596,1664.05
811.545,1667.65
811.495,1672.1
811.444,1650.2
811.394,1663.45
811.343,1655.75
811.293,1673.95
811.243,1663.4
811.192,1660.65
811.142,1664
811.091,1643.75
811.041,1651
810.99,1653.4
810.94,1665.95
810.889,1667.1
810.839,1658.1
810.788,1647.7
810.738,1679.45
810.688,1657.45
810.637,1678.45
810.587,1674.7
810.536,1679.65
810.486,1660.1
810.435,1649.8
810.385,1652.4
810.334,1661.05
810.284,1663.25
810.233,1656.4
810.183,1664.4
810.132,1651.65
810.081,1672.8
810.031,1671.25
809.98,1657.85
809.93,1661.55
809.879,1663.5
809.829,1668.4
809.778,1652.25
809.728,1675.45
809.677,1666.5
809.627,1669.65
809.576,1654.25
809.526,1670.85
809.475,1648.9
809.424,1673.1
809.374,1657.3
809.323,1649.45
809.273,1664.35
809.222,1643.25
809.172,1663.5
809.121,1658.05
809.07,1674.1
809.02,1684.05
808.969,1657.9
808.919,1675.8
808.868,1661.55
808.817,1660.3
808.767,1663.8
808.716,1662.1
808.666,1663.2
808.615,1658.95
808.564,1636.75
808.514,1641.05
808.463,1653.8
808.413,1648.3
808.362,1646.95
808.311,1652.3
808.261,1669.45
808.21,1673
808.159,1681.55
808.109,1652.65
808.058,1673.8
808.007,1672.15
807.957,1682.35
807.906,1665.15
807.855,1664.2
807.805,1666.2
807.754,1662.45
807.703,1655.1
807.653,1655.6
807.602,1646.6
807.551,1675.3
807.501,1651.35
807.45,1658
807.399,1655.1
807.349,1669.25
807.298,1682.1
807.247,1666.7
807.197,1681.7
807.146,1663.65
807.095,1659.35
807.044,1673.7
806.994,1652.55
806.943,1666.5
806.892,1649.2
806.842,1654.9
806.791,1645.85
806.74,1680.6
806.689,1660.65
806.639,1662.65
806.588,1653.95
806.537,1645.95
806.486,1651.05
806.436,1683.55
806.385,1654.65
806.334,1663
806.283,1671.8
806.233,1667.75
806.182,1681.55
806.131,1665.1
806.08,1669.95
806.03,1674.25
805.979,1656.65
805.928,1676.75
805.877,1652
805.826,1652.3
805.776,1648.95
805.725,1645.6
805.674,1665.35
805.623,1667.9
805.572,1674.9
805.522,1657.65
805.471,1665.2
805.42,1665.25
805.369,1657.3
805.318,1647.35
805.268,1661.65
805.217,1682.55
805.166,1660.4
805.115,1662.7
805.064,1667.5
805.013,1654.45
804.963,1646.1
